molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL5986947,inactive,4.263169420244039,CCC(=O)Nc1ccc(-c2ncnc(Nc3ccc(N4CCN(C5COC5)CC4)cc3)n2)cc1C#N,484.56400000000036,3.0231800000000018,2.0,9.0
CHEMBL3799630,inactive,4.999500848303058,CCC(=O)Nc1ccc(-c2ncnc3c2cc(C(=O)NCCCN2CCOCC2)n3C)cc1,450.5430000000003,2.4359,2.0,6.0
CHEMBL3800009,active,7.173925197299173,CCC(=O)Nc1ccc(-c2ncnc3c2cc(C(=O)NCCN2CCCC2)n3C)cc1,420.5170000000002,2.809400000000001,2.0,5.0
CHEMBL3798740,active,6.274905478918531,CCC(=O)Nc1ccc(-c2ncnc3c2cc(C(=O)OCc2ccccc2)n3C)cc1,414.4650000000001,4.340800000000002,1.0,5.0
CHEMBL3797364,inactive,5.099714821429989,CCC(=O)Nc1ccc(-c2ncnc3c2cc(C(N)=O)n3C)cc1,323.356,2.0827,2.0,4.0
CHEMBL1446198,inactive,4.301029995663981,CCC(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,277.327,3.6453000000000015,1.0,3.0
CHEMBL6054682,active,7.522878745280337,CCC(C#N)C1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(S(C)(=O)=O)CC2)C1,468.5870000000004,1.80608,1.0,7.0
CHEMBL3763184,active,6.080921907623926,CCC(C(C)C)n1cc(-c2ccn(C)n2)c2[nH]nc(N)c2c1=O,314.39300000000014,2.3143999999999996,2.0,4.0
CHEMBL5917555,active,6.585026652029182,CCC(C)(C)S(=O)(=O)c1ccc(Nc2nn([C@H]3COCC[C@@H]3C#N)c3cc[nH]c(=O)c23)cc1,469.5670000000003,3.5316800000000015,2.0,7.0
CHEMBL5909397,active,9.481486060122112,CCC(C)(C)S(=O)(=O)c1ccc(Nc2nn([C@]3(CC#N)CCCOC3)c3cc[nH]c(=O)c23)cc1,483.59400000000034,3.8498800000000024,2.0,7.0
CHEMBL5989603,active,6.259637310505756,CCC(C)(CC)n1cc(-c2nc(-c3cnn(C)c3)cn3nccc23)cn1,349.44200000000006,3.528500000000002,0.0,4.0
CHEMBL5888120,active,6.728158393463501,CCC(C)CS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,350.48800000000006,2.6336000000000004,1.0,5.0
CHEMBL5768853,active,7.0,CCC(C)OC(=O)Cn1cc(Nc2ncc3ccn(CC(CC)C(C)C)c3n2)cn1,412.53800000000024,4.395300000000004,1.0,6.0
CHEMBL3764167,active,6.7447274948966935,CCC(C)n1cc(-c2ccn(C)n2)c2[nH]nc(N)c2c1=O,286.33900000000006,1.6782999999999997,2.0,4.0
CHEMBL5783080,active,7.259637310505756,CCC(C)n1cc(-c2nc(-c3cnn(C[C@@H](O)CO)c3)cn3nccc23)cn1,381.44000000000005,1.7804999999999995,2.0,6.0
CHEMBL5980632,active,7.259637310505756,CCC(C1CC(F)(F)C1)n1cc(-c2nc(-c3cnn(C[C@@H](O)CO)c3)cn3nccc23)cn1,457.4850000000002,2.805900000000001,2.0,6.0
CHEMBL5758420,active,7.259637310505756,CCC(C1CC1)n1cc(-c2nc(-c3cnn(C(CO)CO)c3)cn3nccc23)cn1,407.4780000000001,2.3430999999999997,2.0,6.0
CHEMBL6022288,active,6.519274621011513,CCC(C1CC1)n1cc(-c2nc(-c3cnn(C[C@@H](O)CO)c3)cn3nccc23)cn1,407.4780000000001,2.1705999999999994,2.0,6.0
CHEMBL5750703,active,7.259637310505756,CCC(C1CC1)n1cc(-c2nc(-c3cnn(C[C@H](C)O)c3)cn3nccc23)cn1,391.47900000000004,3.1982000000000017,1.0,5.0
CHEMBL5778573,active,6.519274621011513,CCC(CC(F)(F)F)n1cc(-c2nc(-c3cnn(C(CO)CO)c3)cn3nccc23)cn1,449.4370000000002,2.8855000000000004,2.0,6.0
CHEMBL5907229,active,6.259637310505756,CCC(CC(F)(F)F)n1cc(-c2nc(-c3cnn(C[C@@H](O)CO)c3)cn3nccc23)cn1,449.4370000000002,2.713000000000001,2.0,6.0
CHEMBL5939380,active,6.804100347590766,CCC(CC)CS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,364.51500000000004,3.0237000000000007,1.0,5.0
CHEMBL5823333,active,7.0,CCC(CC)Cn1ccc2cnc(Nc3cnn(C4CCOC4=O)c3)nc21,368.4410000000002,3.295600000000001,1.0,6.0
CHEMBL6007346,active,7.0,CCC(CC)Cn1ccc2cnc(Nc3cnn(CC(=O)O)c3)nc21,342.40300000000013,2.8922000000000008,2.0,5.0
CHEMBL5785316,active,7.0,CCC(CC)Cn1ccc2cnc(Nc3cnn(CC(=O)OC(C)C(C)O)c3)nc21,414.5100000000002,3.1201000000000016,2.0,7.0
CHEMBL6065536,active,7.0,CCC(CC)Cn1ccc2cnc(Nc3cnn(CC(=O)OC(C)C)c3)nc21,384.4840000000002,3.7592000000000025,1.0,6.0
CHEMBL5982350,active,7.0,CCC(CC)Cn1ccc2cnc(Nc3cnn(CC(=O)OC4CC(C#N)C4)c3)nc21,421.5050000000003,3.652980000000002,1.0,7.0
CHEMBL5928123,active,7.0,CCC(CC)Cn1ccc2cnc(Nc3cnn(CC(=O)OCC4OC(O)CC(O)C4O)c3)nc21,488.5450000000003,1.179899999999999,4.0,10.0
CHEMBL5988060,active,7.0,CCC(CC)Cn1ccc2cnc(Nc3cnn(CC(=O)OCCC#N)c3)nc21,395.46700000000027,3.2644800000000016,1.0,7.0
CHEMBL5905574,active,7.0,CCC(CC)Cn1ccc2cnc(Nc3cnn(CC(=O)OCCN(C)C)c3)nc21,413.5260000000003,2.9124000000000017,1.0,7.0
CHEMBL6012573,active,7.0,CCC(CC)Cn1ccc2cnc(Nc3cnn(CC(=O)OCCO)c3)nc21,386.45600000000024,2.3430999999999997,2.0,7.0
CHEMBL5951032,active,7.0,CCC(CC)Cn1ccc2cnc(Nc3cnn(CC(=O)O[C@@H]4C[C@@H](C(=O)OC)N(C)C4)c3)nc21,483.5730000000004,2.5965,1.0,9.0
CHEMBL4168613,inactive,4.522878745280337,CCC(CC)Nc1nc(Nc2cc(N3C[C@@H]4C[C@H]3CN4C)cnc2F)ncc1C,399.51800000000014,3.555920000000002,2.0,7.0
CHEMBL5826068,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C(C)(C)CO)c3)cn3nccc23)cn1,393.49500000000006,3.544800000000002,1.0,5.0
CHEMBL5943612,active,6.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C(C)CO)c3)cn3nccc23)cn1,379.468,3.370700000000002,1.0,5.0
CHEMBL5926209,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C(CO)CO)c3)cn3nccc23)cn1,395.4670000000001,2.3430999999999997,2.0,6.0
CHEMBL6025256,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CC(C(=O)N(C)C)C4)c3)cn3nccc23)cn1,446.55900000000014,3.8567000000000027,0.0,5.0
CHEMBL5868716,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CC(C(=O)NCCO)C4)c3)cn3nccc23)cn1,462.55800000000016,2.8770000000000007,2.0,6.0
CHEMBL5771770,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CC(C(N)=O)C4)c3)cn3nccc23)cn1,418.5050000000001,3.253800000000001,1.0,5.0
CHEMBL5983649,active,7.488116639021126,CCC(CC)n1cc(-c2nc(-c3cnn(C4CC(C)(O)C4)c3)cn3nccc23)cn1,405.5060000000001,3.9033000000000024,1.0,5.0
CHEMBL5753794,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CC(CO)C4)c3)cn3nccc23)cn1,405.5060000000001,3.7608000000000024,1.0,5.0
CHEMBL5750887,active,6.519274621011513,CCC(CC)n1cc(-c2nc(-c3cnn(C4CC(O)(CO)C4)c3)cn3nccc23)cn1,421.5050000000001,2.875700000000001,2.0,6.0
CHEMBL5798929,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CC(O)C4)c3)cn3nccc23)cn1,391.4790000000001,3.513200000000002,1.0,5.0
CHEMBL5875126,active,8.0,CCC(CC)n1cc(-c2nc(-c3cnn(C4CC(S(C)(=O)=O)C4)c3)cn3nccc23)cn1,453.5720000000002,3.565500000000002,0.0,6.0
CHEMBL5852968,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CCC(O)CC4)c3)cn3nccc23)cn1,419.53300000000013,4.293400000000003,1.0,5.0
CHEMBL5898469,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CCC[C@@H]4O)c3)cn3nccc23)cn1,405.50600000000003,3.9033000000000024,1.0,5.0
CHEMBL5835392,active,8.0,CCC(CC)n1cc(-c2nc(-c3cnn(C4CCN(C(=O)CN)CC4)c3)cn3nccc23)cn1,461.57400000000024,2.9396000000000004,1.0,6.0
CHEMBL5793960,active,8.0,CCC(CC)n1cc(-c2nc(-c3cnn(C4CCN(C(=O)COC)CC4)c3)cn3nccc23)cn1,476.58500000000026,3.6273000000000026,0.0,6.0
CHEMBL5984114,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CCN(C(=O)N(C)C)CC4)c3)cn3nccc23)cn1,475.6010000000002,4.135900000000003,0.0,5.0
CHEMBL6019613,active,8.0,CCC(CC)n1cc(-c2nc(-c3cnn(C4CCN(C(=O)NC)CC4)c3)cn3nccc23)cn1,461.5740000000002,3.793700000000002,1.0,5.0
CHEMBL5896612,active,8.0,CCC(CC)n1cc(-c2nc(-c3cnn(C4CCN(C(C)=O)CC4)c3)cn3nccc23)cn1,446.5590000000002,4.000800000000003,0.0,5.0
CHEMBL5825040,active,8.0,CCC(CC)n1cc(-c2nc(-c3cnn(C4CCN(S(C)(=O)=O)CC4)c3)cn3nccc23)cn1,482.6140000000002,3.4139000000000017,0.0,6.0
CHEMBL5997575,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CCNCC4)c3)cn3nccc23)cn1,404.5220000000001,3.741900000000002,1.0,5.0
CHEMBL5775187,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CCNC[C@H]4O)c3)cn3nccc23)cn1,420.5210000000001,2.7127000000000008,2.0,6.0
CHEMBL5758027,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(C(=O)C(=O)N(C)C)C4)c3)cn3nccc23)cn1,475.5570000000002,2.2889,0.0,6.0
CHEMBL5899144,active,6.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(C(=O)C(C)(C)O)C4)c3)cn3nccc23)cn1,462.55800000000016,2.9716000000000014,1.0,6.0
CHEMBL5870997,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(C(=O)C(C)C)C4)c3)cn3nccc23)cn1,446.55900000000014,3.8567000000000027,0.0,5.0
CHEMBL5790134,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(C(=O)C5(O)CC5)C4)c3)cn3nccc23)cn1,460.5420000000002,2.7256,1.0,6.0
CHEMBL5831731,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(C(=O)C5CC(O)C5)C4)c3)cn3nccc23)cn1,474.5690000000002,2.9716000000000014,1.0,6.0
CHEMBL5777235,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(C(=O)C5CC5)C4)c3)cn3nccc23)cn1,444.5430000000002,3.6107000000000022,0.0,5.0
CHEMBL6036918,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(C(=O)CN)C4)c3)cn3nccc23)cn1,433.52000000000015,2.159399999999999,1.0,6.0
CHEMBL5967681,active,6.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(C(=O)CN5CC(O)C5)C4)c3)cn3nccc23)cn1,489.58400000000023,1.877199999999999,1.0,7.0
CHEMBL5755723,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(C(=O)CN5CCCC5)C4)c3)cn3nccc23)cn1,487.6120000000003,3.2965000000000018,0.0,6.0
CHEMBL5757127,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(C(=O)CNC)C4)c3)cn3nccc23)cn1,447.54700000000014,2.4200999999999997,1.0,6.0
CHEMBL5752678,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(C(=O)CO)C4)c3)cn3nccc23)cn1,434.50400000000013,2.1929999999999996,1.0,6.0
CHEMBL5969927,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(C(=O)N(C)C)C4)c3)cn3nccc23)cn1,447.54700000000014,3.3557000000000023,0.0,5.0
CHEMBL5787795,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(C(=O)NC)C4)c3)cn3nccc23)cn1,433.5200000000001,3.0135000000000014,1.0,5.0
CHEMBL5751282,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(C(=O)[C@@H](C)O)C4)c3)cn3nccc23)cn1,448.5310000000001,2.5815,1.0,6.0
CHEMBL5843388,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(C(=O)[C@H](C)O)C4)c3)cn3nccc23)cn1,448.5310000000001,2.5815,1.0,6.0
CHEMBL5916075,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(C(C)=O)C4)c3)cn3nccc23)cn1,418.5050000000001,3.220600000000001,0.0,5.0
CHEMBL5997964,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(P(=O)(N(C)C)N(C)C)C4)c3)cn3nccc23)cn1,510.5870000000002,3.905400000000003,0.0,5.0
CHEMBL5860296,active,8.0,CCC(CC)n1cc(-c2nc(-c3cnn(C4CN(S(C)(=O)=O)C4)c3)cn3nccc23)cn1,454.5600000000002,2.6337,0.0,6.0
CHEMBL5808771,active,8.0,CCC(CC)n1cc(-c2nc(-c3cnn(C4CS(=O)(=O)C4)c3)cn3nccc23)cn1,425.51800000000014,2.786900000000001,0.0,6.0
CHEMBL5785446,active,6.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC(=O)N(C)C)c3)cn3nccc23)cn1,406.4940000000001,2.9056000000000006,0.0,5.0
CHEMBL6038772,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC(=O)N4CCOCC4)c3)cn3nccc23)cn1,448.53100000000023,2.6762000000000006,0.0,6.0
CHEMBL5992309,active,6.519274621011513,CCC(CC)n1cc(-c2nc(-c3cnn(CC(=O)NC(C)C)c3)cn3nccc23)cn1,420.5210000000001,3.3420000000000014,1.0,5.0
CHEMBL5827085,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC(C)(C)CO)c3)cn3nccc23)cn1,407.52200000000005,3.8359000000000023,1.0,5.0
CHEMBL6016105,active,6.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC(C)(C)O)c3)cn3nccc23)cn1,393.495,3.588300000000002,1.0,5.0
CHEMBL5871098,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC(C)(O)CO)c3)cn3nccc23)cn1,409.4940000000001,2.5607000000000006,2.0,6.0
CHEMBL5844959,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC(CO)CO)c3)cn3nccc23)cn1,409.4940000000001,2.4181999999999997,2.0,6.0
CHEMBL5792195,active,6.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC(O)C(C)(C)C)c3)cn3nccc23)cn1,421.54900000000015,4.224400000000004,1.0,5.0
CHEMBL5851381,active,6.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC(O)C(C)C)c3)cn3nccc23)cn1,407.5220000000001,3.8343000000000025,1.0,5.0
CHEMBL6000680,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC(O)CC(F)(F)F)c3)cn3nccc23)cn1,447.4650000000001,4.130700000000003,1.0,5.0
CHEMBL5827185,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC(O)CCO)c3)cn3nccc23)cn1,409.49400000000014,2.5607000000000006,2.0,6.0
CHEMBL5846204,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC(O)CN)c3)cn3nccc23)cn1,394.4830000000001,2.1369999999999996,2.0,6.0
CHEMBL5866629,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC(O)CO)c3)cn3nccc23)cn1,395.4670000000001,2.1705999999999994,2.0,6.0
CHEMBL6030063,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC4(CO)CC4)c3)cn3nccc23)cn1,405.5060000000001,3.589900000000002,1.0,5.0
CHEMBL5910829,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC4(CO)COC4)c3)cn3nccc23)cn1,421.5050000000001,2.8263000000000007,1.0,6.0
CHEMBL5816654,active,6.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC4(O)CCN(C(C)=O)CC4)c3)cn3nccc23)cn1,476.58500000000026,3.190800000000001,1.0,6.0
