molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL233969,C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)NCCCN1CCOCC1)n2C)c1ccccc1,42.0,active
CHEMBL394174,C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)NS(C)(=O)=O)n2C)c1ccccc1,55.0,active
CHEMBL233555,C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)NCCN(C)C)n2C)c1ccccc1,19.0,active
CHEMBL391492,CONC(=O)c1cc2c(N[C@@H](C)c3ccccc3)nc(-n3cnc4ccncc43)nc2n1C,6.0,active
CHEMBL233151,C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)N1CCN(C)CC1)n2C)c1ccccc1,11.0,active
CHEMBL247468,c1ccc(-c2c(-c3ccc(OCCN4CCCC4)cc3)oc3ncnc(NCCN4CCNCC4)c23)cc1,8333.0,intermediate
CHEMBL247866,CC(C)Nc1ncnc2oc(-c3ccc(OCCN4CCCC4)cc3)c(-c3ccccc3)c12,4891.0,intermediate
CHEMBL246356,CNc1ncnc(-c2cccnc2Oc2cc(NC(=O)c3cccc(OC(F)(F)C(F)F)c3)ccc2C)n1,1746.0,intermediate
CHEMBL253292,CCN(CC)CCOc1ccc(Nc2cc(NC(=O)Nc3c(Cl)cccc3Cl)ncn2)cc1,10000.0,inactive
CHEMBL412099,N#Cc1cccc(C#N)c1-c1nc2c3ccc(Cl)cc3c3ccccc3c2[nH]1,100.0,active
CHEMBL272424,O=c1[nH]ccc2c3[nH]c(-c4c(F)cccc4Cl)nc3c3ccc(F)cc3c12,0.2,active
CHEMBL270347,Fc1cccc(Cl)c1-c1nc2c3ccccc3c3ccccc3c2[nH]1,900.0,active
CHEMBL272888,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1,1030.0,intermediate
CHEMBL406845,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,50000000.0,inactive
CHEMBL21156,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,1.0,active
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,4000.0,intermediate
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,20000.0,inactive
CHEMBL509032,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1505.0,intermediate
CHEMBL462168,COc1cc2nccc(Oc3ccc4c(NC(=O)c5cccc(C(F)(F)F)c5)nn(C)c4c3)c2cc1OC,25000000.0,inactive
CHEMBL495727,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,1.2,active
CHEMBL500779,Nc1n[nH]c2ccc(-c3ccccc3)cc12,1600.0,intermediate
CHEMBL446576,Nc1n[nH]c2cc(-c3ccccc3)ccc12,145300.0,inactive
CHEMBL479619,Nc1n[nH]c2ccc(-c3cc[nH]n3)cc12,9300.0,intermediate
CHEMBL479620,Nc1n[nH]c2ccc(-c3ccncc3)cc12,1950.0,intermediate
CHEMBL481584,Cc1noc(C)c1-c1ccc2[nH]nc(N)c2c1,28600.0,inactive
CHEMBL510641,Cc1nc(C)c(-c2ccc3[nH]nc(N)c3c2)s1,320.0,active
CHEMBL498859,Nc1n[nH]c2ccc(-c3ccccc3Cl)cc12,370.0,active
CHEMBL481583,Nc1n[nH]c2ccc(-c3cccc(Cl)c3)cc12,740.0,active
CHEMBL481585,Nc1n[nH]c2ccc(-c3cccc(Cl)n3)cc12,5800.0,intermediate
CHEMBL519279,CN1CCN(c2ccc(-c3ccc4[nH]nc(N)c4c3)cc2)CC1,8580.0,intermediate
